0	"model-based approaches"	rdfs:subClassOf	"approaches"
0	"model-based approaches to recommendation"	local:to_recommendation	"model-based approaches"
0	"model-based approaches to recommendation"	local:model-basedapproaches_to	"recommendation"
0	"recommend"	vn.role:Agent	"model-based approaches to recommendation"
0	"recommend"	local:AM-MOD	"can"
0	"recommend"	vn.role:Theme	"items"
0	"high level"	rdfs:subClassOf	"level"
0	"high level of accuracy"	local:of_accuracy	"high level"
0	"high level of accuracy"	local:highlevel_of	"accuracy"
0	"recommend"	vn.role:Predicate	"high level of accuracy"
1	"embeds"	vn.role:Agent	"model"
1	"content-based information"	rdfs:subClassOf	"information"
1	"embeds"	vn.role:Theme	"content-based information"
1	"recommended items"	rdfs:subClassOf	"items"
1	"actual semantics"	rdfs:subClassOf	"semantics"
1	"latent space"	rdfs:subClassOf	"space"
1	"move to latent space"	local:to_latentspace	"move"
1	"move to latent space"	local:move_to	"latent space"
1	"miss to actual semantics"	local:to_actualsemantics	"miss"
1	"miss to actual semantics"	local:miss_to	"actual semantics"
1	"actual semantics of recommended items"	local:of_recommendeditems	"actual semantics"
1	"actual semantics of recommended items"	local:actualsemantics_of	"recommended items"
1	"embeds"	local:AM-MNR	"move to latent space"
1	"move"	vn.role:Cause	"we"
1	"recommended items"	rdfs:subClassOf	"items"
1	"actual semantics"	rdfs:subClassOf	"semantics"
1	"latent space"	rdfs:subClassOf	"space"
1	"miss to actual semantics"	local:to_actualsemantics	"miss"
1	"miss to actual semantics"	local:miss_to	"actual semantics"
1	"actual semantics of recommended items"	local:of_recommendeditems	"actual semantics"
1	"actual semantics of recommended items"	local:actualsemantics_of	"recommended items"
1	"move"	vn.role:indirect_object	"latent space"
1	"latent space"	rdfs:subClassOf	"space"
1	"miss"	vn.role:Predicate	"latent space"
1	"miss"	vn.role:Theme	"we"
1	"miss"	vn.role:Experiencer	"references"
1	"recommended items"	rdfs:subClassOf	"items"
1	"actual semantics"	rdfs:subClassOf	"semantics"
1	"actual semantics of recommended items"	local:of_recommendeditems	"actual semantics"
1	"actual semantics of recommended items"	local:actualsemantics_of	"recommended items"
1	"miss"	vn.role:Predicate	"actual semantics of recommended items"
1	"content-based information"	rdfs:subClassOf	"information"
1	"latent space"	rdfs:subClassOf	"space"
1	"move to latent space"	local:to_latentspace	"move"
1	"move to latent space"	local:move_to	"latent space"
1	"recommended"	vn.role:Theme	"content-based information"
