0	"tackle"	local:AM-LOC	"paper"
0	"tackle"	vn.role:Agent	"we"
0	"virtually integrated databases"	rdfs:subClassOf	"databases"
0	"virtually integrated"	rdfs:subClassOf	"integrated"
0	"sparql queries"	rdfs:subClassOf	"queries"
0	"sparql"	rdfs:member	"sparql queries"
0	"integrated databases"	rdfs:subClassOf	"databases"
0	"virtually"	rdfs:member	"virtually integrated"
0	"integrated"	rdfs:member	"integrated databases"
0	"virtually integrated"	rdfs:member	"virtually integrated databases"
0	"answering over integrated databases"	local:over_integrateddatabases	"answering"
0	"answering over integrated databases"	local:answering_over	"integrated databases"
0	"tackle"	vn.role:Theme	"problem"
0	"virtually integrated databases"	rdfs:subClassOf	"databases"
0	"virtually integrated"	rdfs:subClassOf	"integrated"
0	"sparql queries"	rdfs:subClassOf	"queries"
0	"sparql"	rdfs:member	"sparql queries"
0	"integrated databases"	rdfs:subClassOf	"databases"
0	"virtually"	rdfs:member	"virtually integrated"
0	"integrated"	rdfs:member	"integrated databases"
0	"virtually integrated"	rdfs:member	"virtually integrated databases"
0	"sparql queries over integrated databases"	local:over_integrateddatabases	"sparql queries"
0	"sparql queries over integrated databases"	local:sparqlqueries_over	"integrated databases"
0	"answering"	vn.role:Predicate	"sparql queries over integrated databases"
1	"assume"	vn.role:Agent	"we"
1	"resolution"	rdfs:member	"resolution problem"
1	"entity resolution problem"	rdfs:subClassOf	"problem"
1	"entity"	rdfs:member	"entity resolution"
1	"entity resolution"	rdfs:member	"entity resolution problem"
1	"resolution problem"	rdfs:subClassOf	"problem"
1	"entity resolution"	rdfs:subClassOf	"resolution"
1	"already solved"	rdfs:subClassOf	"solved"
1	"has already solved"	rdfs:subClassOf	"already solved"
1	"entity resolution problem"	rdfs:subClassOf	"resolution problem"
1	"assume"	vn.role:Theme	"has already solved"
2	"different databases"	rdfs:subClassOf	"databases"
2	"different"	rdfs:member	"different databases"
2	"records in different databases"	local:in_differentdatabases	"records"
2	"records in different databases"	local:records_in	"different databases"
2	"refer"	vn.role:Agent	"records in different databases"
2	"world"	rdfs:member	"world entity"
2	"real world entity"	rdfs:subClassOf	"entity"
2	"real"	rdfs:member	"real world"
2	"real world"	rdfs:member	"real world entity"
2	"real world"	rdfs:subClassOf	"world"
2	"world entity"	rdfs:subClassOf	"entity"
2	"real world entity"	rdfs:subClassOf	"world entity"
2	"refer"	vn.role:Theme	"real world entity"
3	"sparql"	rdfs:member	"sparql query-answering"
3	"db links"	rdfs:subClassOf	"links"
3	"db"	rdfs:member	"db links"
3	"sparql query-answering"	rdfs:subClassOf	"query-answering"
3	"take into account"	local:into_account	"take"
3	"take into account"	local:take_into	"account"
3	"db links for sparql query-answering"	local:for_sparqlquery-answering	"db links"
3	"db links for sparql query-answering"	local:dblinks_for	"sparql query-answering"
3	"setting"	local:AM-PNC	"take into account"
3	"data access"	rdfs:subClassOf	"access"
3	"access setting"	rdfs:subClassOf	"setting"
3	"standard ontology-based"	rdfs:member	"standard ontology-based data"
3	"standard ontology-based data"	rdfs:member	"standard ontology-based data access"
3	"ontology-based data access"	rdfs:member	"ontology-based data access setting"
3	"standard ontology-based data"	rdfs:subClassOf	"data"
3	"standard ontology-based data access"	rdfs:subClassOf	"access"
3	"ontology-based data"	rdfs:subClassOf	"data"
3	"standard ontology-based data access"	rdfs:member	"standard ontology-based data access setting"
3	"ontology-based data"	rdfs:member	"ontology-based data access"
3	"standard ontology-based"	rdfs:subClassOf	"ontology-based"
3	"ontology-based data access setting"	rdfs:subClassOf	"setting"
3	"access"	rdfs:member	"access setting"
3	"ontology-based"	rdfs:member	"ontology-based data"
3	"ontology-based data access"	rdfs:subClassOf	"access"
3	"data access setting"	rdfs:subClassOf	"setting"
3	"data"	rdfs:member	"data access"
3	"standard ontology-based data access setting"	rdfs:subClassOf	"setting"
3	"standard"	rdfs:member	"standard ontology-based"
3	"data access"	rdfs:member	"data access setting"
3	"data access setting"	rdfs:subClassOf	"access setting"
3	"ontology-based data access setting"	rdfs:subClassOf	"data access setting"
3	"standard ontology-based data access setting"	rdfs:subClassOf	"ontology-based data access setting"
3	"take"	vn.role:Agent	"standard ontology-based data access setting"
3	"take"	vn.role:Source	"account"
3	"sparql"	rdfs:member	"sparql query-answering"
3	"db links"	rdfs:subClassOf	"links"
3	"db"	rdfs:member	"db links"
3	"sparql query-answering"	rdfs:subClassOf	"query-answering"
3	"db links for sparql query-answering"	local:for_sparqlquery-answering	"db links"
3	"db links for sparql query-answering"	local:dblinks_for	"sparql query-answering"
3	"take"	vn.role:Theme	"db links for sparql query-answering"
4	"data access"	rdfs:subClassOf	"access"
4	"standard ontology-based"	rdfs:member	"standard ontology-based data"
4	"standard ontology-based data"	rdfs:member	"standard ontology-based data access"
