0	"cross-domain"	rdfs:member	"cross-domain knowledge"
0	"cross-domain knowledge"	rdfs:member	"cross-domain knowledge graphs"
0	"knowledge"	rdfs:member	"knowledge graphs"
0	"large-scale"	rdfs:member	"large-scale coverage"
0	"knowledge graphs"	rdfs:subClassOf	"graphs"
0	"cross-domain knowledge"	rdfs:subClassOf	"knowledge"
0	"large-scale coverage"	rdfs:subClassOf	"coverage"
0	"cross-domain knowledge graphs"	rdfs:subClassOf	"graphs"
0	"cross-domain knowledge graphs"	rdfs:subClassOf	"knowledge graphs"
0	"coverage large-scale coverage"	rdfs:subClassOf	"large-scale coverage"
0	"coverage large-scale coverage cross-domain knowledge graphs"	local:_cross-domainknowledgegraphs	"coverage large-scale coverage"
0	"coverage large-scale coverage cross-domain knowledge graphs"	local:coveragelarge-scalecoverage_	"cross-domain knowledge graphs"
0	"suffer"	vn.role:Theme	"coverage large-scale coverage cross-domain knowledge graphs"
0	"suffer"	local:AM-TMP	"invariably"
0	"inherent incompleteness"	rdfs:subClassOf	"incompleteness"
0	"inherent"	rdfs:member	"inherent incompleteness"
0	"suffer"	vn.role:Experiencer	"inherent incompleteness"
1	"link prediction"	rdfs:subClassOf	"prediction"
1	"link"	rdfs:member	"link prediction"
1	"alleviate"	vn.role:Experiencer	"link prediction"
1	"alleviate"	local:AM-MOD	"can"
1	"alleviate"	vn.role:Cause	"this"
1	"target"	rdfs:member	"target entity"
1	"query relation"	rdfs:subClassOf	"relation"
1	"query"	rdfs:member	"query relation"
1	"target entity"	rdfs:subClassOf	"entity"
1	"inferring given query relation"	local:given_queryrelation	"inferring"
1	"inferring given query relation"	local:inferring_given	"query relation"
1	"alleviate"	local:AM-MNR	"inferring given query relation"
1	"link prediction"	rdfs:subClassOf	"prediction"
1	"link"	rdfs:member	"link prediction"
1	"inferring"	vn.role:Agent	"link prediction"
1	"target"	rdfs:member	"target entity"
1	"query relation"	rdfs:subClassOf	"relation"
1	"query"	rdfs:member	"query relation"
1	"target entity"	rdfs:subClassOf	"entity"
1	"target entity given query relation"	local:given_queryrelation	"target entity"
1	"target entity given query relation"	local:targetentity_given	"query relation"
1	"inferring"	vn.role:Theme	"target entity given query relation"
1	"query relation"	rdfs:subClassOf	"relation"
1	"given"	vn.role:object	"query relation"
2	"link prediction"	rdfs:subClassOf	"prediction"
2	"link"	rdfs:member	"link prediction"
2	"alleviate"	vn.role:Experiencer	"link prediction"
2	"alleviate"	local:AM-MOD	"can"
2	"alleviate"	vn.role:Cause	"this"
2	"source entity"	rdfs:subClassOf	"entity"
2	"source"	rdfs:member	"source entity"
2	"target"	rdfs:member	"target entity"
2	"target entity"	rdfs:subClassOf	"entity"
2	"target source entity"	rdfs:subClassOf	"source entity"
2	"inferring given source entity"	local:given_sourceentity	"inferring"
2	"inferring given source entity"	local:inferring_given	"source entity"
2	"alleviate"	local:AM-MNR	"inferring given source entity"
2	"source entity"	rdfs:subClassOf	"entity"
2	"source"	rdfs:member	"source entity"
2	"target"	rdfs:member	"target entity"
2	"target entity"	rdfs:subClassOf	"entity"
2	"target source entity"	rdfs:subClassOf	"source entity"
2	"target source entity given source entity"	local:given_sourceentity	"target source entity"
2	"target source entity given source entity"	local:targetsourceentity_given	"source entity"
2	"inferring"	vn.role:Theme	"target source entity given source entity"
2	"source entity"	rdfs:subClassOf	"entity"
2	"source"	rdfs:member	"source entity"
2	"given"	vn.role:object	"source entity"
3	"recent embedding-based"	rdfs:subClassOf	"embedding-based"
3	"recent"	rdfs:member	"recent embedding-based"
3	"recent embedding-based"	rdfs:member	"recent embedding-based approaches"
3	"embedding-based approaches"	rdfs:subClassOf	"approaches"
3	"embedding-based"	rdfs:member	"embedding-based approaches"
3	"recent embedding-based approaches"	rdfs:subClassOf	"approaches"
