0	"present"	local:AM-LOC	"paper"
0	"present"	vn.role:Agent	"we"
0	"owl ontologies"	rdfs:subClassOf	"ontologies"
0	"cognitive complexity"	rdfs:subClassOf	"complexity"
0	"cognitive"	rdfs:member	"cognitive complexity"
0	"owl"	rdfs:member	"owl ontologies"
0	"cognitive complexity of justifications"	local:of_justifications	"cognitive complexity"
0	"cognitive complexity of justifications"	local:cognitivecomplexity_of	"justifications"
0	"cognitive complexity of justifications for entailments"	local:for_entailments	"cognitive complexity of justifications"
0	"cognitive complexity of justifications for entailments"	local:cognitivecomplexityofjustifications_for	"entailments"
0	"entailments of owl ontologies"	local:of_owlontologies	"entailments"
0	"entailments of owl ontologies"	local:entailments_of	"owl ontologies"
0	"present"	vn.role:Theme	"approach"
0	"determining"	vn.role:Agent	"we"
0	"owl ontologies"	rdfs:subClassOf	"ontologies"
0	"cognitive complexity"	rdfs:subClassOf	"complexity"
0	"cognitive"	rdfs:member	"cognitive complexity"
0	"owl"	rdfs:member	"owl ontologies"
0	"cognitive complexity of justifications"	local:of_justifications	"cognitive complexity"
0	"cognitive complexity of justifications"	local:cognitivecomplexity_of	"justifications"
0	"cognitive complexity of justifications for entailments"	local:for_entailments	"cognitive complexity of justifications"
0	"cognitive complexity of justifications for entailments"	local:cognitivecomplexityofjustifications_for	"entailments"
0	"entailments of owl ontologies"	local:of_owlontologies	"entailments"
0	"entailments of owl ontologies"	local:entailments_of	"owl ontologies"
0	"determining"	vn.role:Theme	"cognitive complexity of justifications for entailments"
1	"involving"	vn.role:Topic	"experiments"
1	"owl"	rdfs:member	"owl users"
1	"owl users"	rdfs:subClassOf	"users"
1	"involving"	vn.role:Cause	"owl users"
2	"introduce"	vn.role:Agent	"we"
2	"complexity"	rdfs:member	"complexity model"
2	"complexity model"	rdfs:subClassOf	"model"
2	"cognitive complexity model"	rdfs:subClassOf	"model"
2	"cognitive complexity"	rdfs:subClassOf	"complexity"
2	"cognitive complexity"	rdfs:member	"cognitive complexity model"
2	"cognitive"	rdfs:member	"cognitive complexity"
2	"simple cognitive"	rdfs:member	"simple cognitive complexity"
2	"simple cognitive"	rdfs:subClassOf	"cognitive"
2	"simple cognitive complexity model"	rdfs:subClassOf	"model"
2	"simple cognitive complexity"	rdfs:subClassOf	"complexity"
2	"simple"	rdfs:member	"simple cognitive"
2	"simple cognitive complexity"	rdfs:member	"simple cognitive complexity model"
2	"cognitive complexity model"	rdfs:subClassOf	"complexity model"
2	"simple cognitive complexity model"	rdfs:subClassOf	"cognitive complexity model"
2	"introduce"	vn.role:Patient	"simple cognitive complexity model"
3	"present"	vn.role:Agent	"we"
3	"present"	vn.role:Theme	"results"
3	"present"	local:AM-MNR	"experiments"
3	"validating"	vn.role:Agent	"we"
3	"validating"	vn.role:Theme	"model"
3	"validating"	local:AM-MNR	"experiments"
4	"test data"	rdfs:subClassOf	"data"
4	"test"	rdfs:member	"test data"
4	"derived"	vn.role:Location	"test data"
4	"large corpus"	rdfs:subClassOf	"corpus"
4	"large"	rdfs:member	"large corpus"
4	"occurring justifications"	rdfs:subClassOf	"justifications"
4	"naturally occurring"	rdfs:subClassOf	"occurring"
4	"large corpus of occurring justifications"	local:of_occurringjustifications	"large corpus"
4	"large corpus of occurring justifications"	local:largecorpus_of	"occurring justifications"
4	"derived"	vn.role:indirect_object	"large corpus of occurring justifications"
4	"test data"	rdfs:subClassOf	"data"
4	"large corpus"	rdfs:subClassOf	"corpus"
4	"large"	rdfs:member	"large corpus"
4	"test"	rdfs:member	"test data"
4	"test data derived"	local:_derived	"test data"
4	"test data derived"	local:testdata_	"derived"
4	"derived from large corpus"	local:from_largecorpus	"derived"
4	"derived from large corpus"	local:derived_from	"large corpus"
4	"occurring"	vn.role:Location	"test data derived"
4	"occurring"	local:AM-MNR	"naturally"
4	"occurring"	vn.role:Location	"justifications"
5	"based"	vn.role:Cause	"validation"
5	"test data"	rdfs:subClassOf	"data"
5	"test"	rdfs:member	"test data"
5	"based"	vn.role:indirect_object	"test data"
6	"test data"	rdfs:subClassOf	"data"
6	"test"	rdfs:member	"test data"
6	"derived"	vn.role:indirect_object	"test data"
6	"diverse corpus"	rdfs:subClassOf	"corpus"
6	"diverse"	rdfs:member	"diverse corpus"
6	"occurring justifications"	rdfs:subClassOf	"justifications"
6	"naturally occurring"	rdfs:subClassOf	"occurring"
6	"diverse corpus of occurring justifications"	local:of_occurringjustifications	"diverse corpus"
6	"diverse corpus of occurring justifications"	local:diversecorpus_of	"occurring justifications"
6	"derived"	vn.role:indirect_object	"diverse corpus of occurring justifications"
6	"diverse corpus"	rdfs:subClassOf	"corpus"
6	"test data"	rdfs:subClassOf	"data"
6	"diverse"	rdfs:member	"diverse corpus"
6	"test"	rdfs:member	"test data"
6	"test data derived"	local:_derived	"test data"
6	"test data derived"	local:testdata_	"derived"
6	"derived from diverse corpus"	local:from_diversecorpus	"derived"
6	"derived from diverse corpus"	local:derived_from	"diverse corpus"
6	"occurring"	vn.role:Location	"test data derived"
6	"occurring"	local:AM-MNR	"naturally"
6	"occurring"	vn.role:Location	"justifications"
7	"include"	vn.role:Location	"contributions"
7	"experimental"	rdfs:member	"experimental protocol"
7	"experimental protocol"	rdfs:subClassOf	"protocol"
7	"model validation"	rdfs:subClassOf	"validation"
7	"model"	rdfs:member	"model validation"
7	"suitable protocol"	rdfs:subClassOf	"protocol"
7	"experimental suitable protocol"	rdfs:subClassOf	"suitable protocol"
7	"suitable for model validation"	local:for_modelvalidation	"suitable"
7	"suitable for model validation"	local:suitable_for	"model validation"
7	"suitable for model validation for refinement"	local:for_refinement	"suitable for model validation"
7	"suitable for model validation for refinement"	local:suitableformodelvalidation_for	"refinement"
7	"include"	vn.role:Theme	"experimental suitable protocol"
8	"include"	vn.role:Location	"contributions"
8	"complexity"	rdfs:member	"complexity model"
