0	"federated"	rdfs:member	"federated query"
0	"processing"	rdfs:member	"processing strategies"
0	"query processing"	rdfs:subClassOf	"processing"
0	"federated query processing"	rdfs:member	"federated query processing strategies"
0	"query"	rdfs:member	"query processing"
0	"federated query processing"	rdfs:subClassOf	"processing"
0	"query processing"	rdfs:member	"query processing strategies"
0	"federated query"	rdfs:subClassOf	"query"
0	"query processing strategies"	rdfs:subClassOf	"strategies"
0	"federated query processing strategies"	rdfs:subClassOf	"strategies"
0	"processing strategies"	rdfs:subClassOf	"strategies"
0	"federated query"	rdfs:member	"federated query processing"
0	"query processing strategies"	rdfs:subClassOf	"processing strategies"
0	"federated query processing strategies"	rdfs:subClassOf	"query processing strategies"
0	"performance of federated query processing strategies"	local:of_federatedqueryprocessingstrategies	"performance"
0	"performance of federated query processing strategies"	local:performance_of	"federated query processing strategies"
0	"analyzing"	vn.role:Theme	"performance of federated query processing strategies"
0	"semantic"	rdfs:member	"semantic data"
0	"semantic data"	rdfs:subClassOf	"data"
0	"analyzing"	vn.role:Agent	"semantic data"
1	"present"	local:AM-LOC	"paper"
1	"present"	vn.role:Agent	"we"
1	"benchmark"	rdfs:member	"benchmark suite"
1	"comprehensive benchmark"	rdfs:member	"comprehensive benchmark suite"
1	"comprehensive benchmark suite"	rdfs:subClassOf	"suite"
1	"benchmark suite"	rdfs:subClassOf	"suite"
1	"comprehensive"	rdfs:member	"comprehensive benchmark"
1	"comprehensive benchmark"	rdfs:subClassOf	"benchmark"
1	"comprehensive benchmark suite"	rdfs:subClassOf	"benchmark suite"
1	"present"	vn.role:Theme	"comprehensive benchmark suite"
1	"present"	local:AM-PNC	"testing"
2	"present"	local:AM-LOC	"paper"
2	"present"	vn.role:Agent	"we"
2	"present"	vn.role:Theme	"fedbench"
3	"major"	rdfs:member	"major challenge"
3	"major challenge"	rdfs:subClassOf	"challenge"
3	"lies"	vn.role:Location	"major challenge"
3	"semantic data use cases"	rdfs:subClassOf	"cases"
3	"incomplete knowledge"	rdfs:subClassOf	"knowledge"
3	"semantic data use"	rdfs:subClassOf	"use"
3	"semantic data"	rdfs:member	"semantic data use"
3	"data sources"	rdfs:subClassOf	"sources"
3	"use"	rdfs:member	"use cases"
3	"data use cases"	rdfs:subClassOf	"cases"
3	"data"	rdfs:member	"data use"
3	"semantic data use"	rdfs:member	"semantic data use cases"
3	"data use"	rdfs:subClassOf	"use"
3	"semantic data"	rdfs:subClassOf	"data"
3	"data"	rdfs:member	"data sources"
3	"data use"	rdfs:member	"data use cases"
3	"semantic"	rdfs:member	"semantic data"
3	"incomplete"	rdfs:member	"incomplete knowledge"
3	"use cases"	rdfs:subClassOf	"cases"
3	"varying data"	rdfs:subClassOf	"data"
3	"semantic varying data"	rdfs:subClassOf	"varying data"
3	"heterogeneity of semantic varying data"	local:of_semanticvaryingdata	"heterogeneity"
3	"heterogeneity of semantic varying data"	local:heterogeneity_of	"semantic varying data"
3	"use at data"	local:at_data	"use"
3	"use at data"	local:use_at	"data"
3	"data such_as varying data"	local:such_as_varyingdata	"data"
3	"data such_as varying data"	local:data_such_as	"varying data"
3	"incomplete knowledge about data sources"	local:about_datasources	"incomplete knowledge"
3	"incomplete knowledge about data sources"	local:incompleteknowledge_about	"data sources"
3	"lies"	vn.role:indirect_object	"use at data"
3	"semantic"	rdfs:member	"semantic data"
3	"semantic data"	rdfs:subClassOf	"data"
3	"use"	vn.role:Agent	"semantic data"
3	"use"	vn.role:Theme	"cases"
3	"incomplete knowledge"	rdfs:subClassOf	"knowledge"
3	"data"	rdfs:member	"data sources"
3	"data sources"	rdfs:subClassOf	"sources"
3	"incomplete"	rdfs:member	"incomplete knowledge"
3	"varying data"	rdfs:subClassOf	"data"
3	"data such_as varying data"	local:such_as_varyingdata	"data"
3	"data such_as varying data"	local:data_such_as	"varying data"
3	"incomplete knowledge about data sources"	local:about_datasources	"incomplete knowledge"
3	"incomplete knowledge about data sources"	local:incompleteknowledge_about	"data sources"
3	"use"	vn.role:Recipient	"data such_as varying data"
3	"data incomplete"	rdfs:subClassOf	"incomplete"
3	"data sources"	rdfs:subClassOf	"sources"
3	"data"	rdfs:member	"data incomplete"
3	"data"	rdfs:member	"data sources"
3	"incomplete knowledge"	rdfs:subClassOf	"knowledge"
3	"data incomplete knowledge"	rdfs:subClassOf	"incomplete knowledge"
3	"data incomplete knowledge about data sources"	local:about_datasources	"data incomplete knowledge"
3	"data incomplete knowledge about data sources"	local:dataincompleteknowledge_about	"data sources"
3	"varying"	vn.role:Attribute	"data incomplete knowledge about data sources"
4	"major"	rdfs:member	"major challenge"
4	"major challenge"	rdfs:subClassOf	"challenge"
4	"lies"	vn.role:Location	"major challenge"
4	"semantic data use cases"	rdfs:subClassOf	"cases"
4	"data availability"	rdfs:subClassOf	"availability"
4	"semantic data use"	rdfs:subClassOf	"use"
4	"semantic data"	rdfs:member	"semantic data use"
4	"use"	rdfs:member	"use cases"
4	"query"	rdfs:member	"query level"
4	"data use cases"	rdfs:subClassOf	"cases"
4	"data"	rdfs:member	"data use"
4	"semantic data use"	rdfs:member	"semantic data use cases"
4	"data use"	rdfs:subClassOf	"use"
4	"query level"	rdfs:subClassOf	"level"
4	"semantic data"	rdfs:subClassOf	"data"
4	"data use"	rdfs:member	"data use cases"
4	"semantic"	rdfs:member	"semantic data"
4	"different statistics"	rdfs:subClassOf	"statistics"
4	"data"	rdfs:member	"data availability"
4	"use cases"	rdfs:subClassOf	"cases"
4	"different"	rdfs:member	"different statistics"
4	"varying data availability"	rdfs:subClassOf	"data availability"
4	"heterogeneity of semantic data"	local:of_semanticdata	"heterogeneity"
4	"heterogeneity of semantic data"	local:heterogeneity_of	"semantic data"
4	"use at query level"	local:at_querylevel	"use"
4	"use at query level"	local:use_at	"query level"
4	"query level such_as varying data availability"	local:such_as_varyingdataavailability	"query level"
4	"query level such_as varying data availability"	local:querylevel_such_as	"varying data availability"
4	"varying data availability of different statistics"	local:of_differentstatistics	"varying data availability"
4	"varying data availability of different statistics"	local:varyingdataavailability_of	"different statistics"
4	"lies"	local:AM-LOC	"use at query level"
4	"semantic"	rdfs:member	"semantic data"
4	"semantic data"	rdfs:subClassOf	"data"
4	"use"	vn.role:Agent	"semantic data"
4	"data availability"	rdfs:subClassOf	"availability"
4	"query"	rdfs:member	"query level"
4	"query level"	rdfs:subClassOf	"level"
4	"different statistics"	rdfs:subClassOf	"statistics"
4	"data"	rdfs:member	"data availability"
4	"different"	rdfs:member	"different statistics"
4	"varying data availability"	rdfs:subClassOf	"data availability"
4	"cases at query level"	local:at_querylevel	"cases"
4	"cases at query level"	local:cases_at	"query level"
4	"query level such_as varying data availability"	local:such_as_varyingdataavailability	"query level"
4	"query level such_as varying data availability"	local:querylevel_such_as	"varying data availability"
4	"varying data availability of different statistics"	local:of_differentstatistics	"varying data availability"
4	"varying data availability of different statistics"	local:varyingdataavailability_of	"different statistics"
4	"use"	vn.role:Theme	"cases at query level"
4	"data availability"	rdfs:subClassOf	"availability"
4	"different statistics"	rdfs:subClassOf	"statistics"
4	"data"	rdfs:member	"data availability"
4	"different"	rdfs:member	"different statistics"
4	"data availability of different statistics"	local:of_differentstatistics	"data availability"
4	"data availability of different statistics"	local:dataavailability_of	"different statistics"
4	"varying"	vn.role:Attribute	"data availability of different statistics"
5	"major"	rdfs:member	"major challenge"
5	"major challenge"	rdfs:subClassOf	"challenge"
5	"lies"	vn.role:Location	"major challenge"
5	"semantic data use cases"	rdfs:subClassOf	"cases"
5	"access"	rdfs:member	"access interfaces"
5	"semantic data use"	rdfs:subClassOf	"use"
5	"semantic data"	rdfs:member	"semantic data use"
5	"use"	rdfs:member	"use cases"
5	"data access"	rdfs:member	"data access interfaces"
5	"query"	rdfs:member	"query level"
5	"data use cases"	rdfs:subClassOf	"cases"
5	"data"	rdfs:member	"data use"
5	"semantic data use"	rdfs:member	"semantic data use cases"
5	"data use"	rdfs:subClassOf	"use"
5	"query level"	rdfs:subClassOf	"level"
5	"semantic data"	rdfs:subClassOf	"data"
5	"data access"	rdfs:subClassOf	"access"
5	"data use"	rdfs:member	"data use cases"
5	"data"	rdfs:member	"data access"
5	"access interfaces"	rdfs:subClassOf	"interfaces"
5	"data access interfaces"	rdfs:subClassOf	"interfaces"
5	"semantic"	rdfs:member	"semantic data"
5	"use cases"	rdfs:subClassOf	"cases"
5	"data access interfaces"	rdfs:subClassOf	"access interfaces"
5	"varying data access interfaces"	rdfs:subClassOf	"data access interfaces"
5	"heterogeneity of semantic data"	local:of_semanticdata	"heterogeneity"
5	"heterogeneity of semantic data"	local:heterogeneity_of	"semantic data"
5	"use at query level"	local:at_querylevel	"use"
5	"use at query level"	local:use_at	"query level"
5	"query level such_as varying data access interfaces"	local:such_as_varyingdataaccessinterfaces	"query level"
5	"query level such_as varying data access interfaces"	local:querylevel_such_as	"varying data access interfaces"
5	"lies"	local:AM-LOC	"use at query level"
5	"semantic"	rdfs:member	"semantic data"
5	"semantic data"	rdfs:subClassOf	"data"
5	"use"	vn.role:Agent	"semantic data"
5	"access"	rdfs:member	"access interfaces"
5	"query"	rdfs:member	"query level"
5	"query level"	rdfs:subClassOf	"level"
5	"data access"	rdfs:subClassOf	"access"
5	"data"	rdfs:member	"data access"
5	"data access interfaces"	rdfs:subClassOf	"interfaces"
5	"data access"	rdfs:member	"data access interfaces"
5	"access interfaces"	rdfs:subClassOf	"interfaces"
5	"data access interfaces"	rdfs:subClassOf	"access interfaces"
5	"varying data access interfaces"	rdfs:subClassOf	"data access interfaces"
5	"cases at query level"	local:at_querylevel	"cases"
5	"cases at query level"	local:cases_at	"query level"
5	"query level such_as varying data access interfaces"	local:such_as_varyingdataaccessinterfaces	"query level"
5	"query level such_as varying data access interfaces"	local:querylevel_such_as	"varying data access interfaces"
5	"use"	vn.role:Theme	"cases at query level"
5	"access"	rdfs:member	"access interfaces"
5	"data access"	rdfs:subClassOf	"access"
5	"data access"	rdfs:member	"data access interfaces"
5	"data"	rdfs:member	"data access"
5	"data access interfaces"	rdfs:subClassOf	"interfaces"
5	"access interfaces"	rdfs:subClassOf	"interfaces"
5	"data access interfaces"	rdfs:subClassOf	"access interfaces"
5	"varying"	vn.role:Attribute	"data access interfaces"
6	"major"	rdfs:member	"major challenge"
6	"major challenge"	rdfs:subClassOf	"challenge"
6	"lies"	vn.role:Location	"major challenge"
6	"semantic data use cases"	rdfs:subClassOf	"cases"
6	"access"	rdfs:member	"access interfaces"
6	"semantic data use"	rdfs:subClassOf	"use"
6	"semantic data"	rdfs:member	"semantic data use"
6	"use"	rdfs:member	"use cases"
6	"data use cases"	rdfs:subClassOf	"cases"
6	"data"	rdfs:member	"data use"
6	"semantic data use"	rdfs:member	"semantic data use cases"
6	"data use"	rdfs:subClassOf	"use"
6	"data access"	rdfs:subClassOf	"access"
6	"semantic data"	rdfs:subClassOf	"data"
6	"data"	rdfs:member	"data access"
6	"data use"	rdfs:member	"data use cases"
6	"access interfaces"	rdfs:subClassOf	"interfaces"
6	"data access interfaces"	rdfs:subClassOf	"interfaces"
6	"data access"	rdfs:member	"data access interfaces"
6	"semantic"	rdfs:member	"semantic data"
6	"use cases"	rdfs:subClassOf	"cases"
6	"data access interfaces"	rdfs:subClassOf	"access interfaces"
6	"varying data access interfaces"	rdfs:subClassOf	"data access interfaces"
6	"heterogeneity of semantic data"	local:of_semanticdata	"heterogeneity"
6	"heterogeneity of semantic data"	local:heterogeneity_of	"semantic data"
6	"use at data"	local:at_data	"use"
6	"use at data"	local:use_at	"data"
6	"data such_as varying data access interfaces"	local:such_as_varyingdataaccessinterfaces	"data"
6	"data such_as varying data access interfaces"	local:data_such_as	"varying data access interfaces"
6	"lies"	vn.role:indirect_object	"use at data"
6	"semantic"	rdfs:member	"semantic data"
6	"semantic data"	rdfs:subClassOf	"data"
6	"use"	vn.role:Agent	"semantic data"
6	"use"	vn.role:Theme	"cases"
6	"access"	rdfs:member	"access interfaces"
