0	"extensively"	rdfs:member	"extensively explored"
0	"language generation"	rdfs:subClassOf	"generation"
0	"most extensively explored"	rdfs:member	"most extensively explored tasks"
0	"most extensively"	rdfs:member	"most extensively explored"
0	"most extensively explored"	rdfs:subClassOf	"explored"
0	"natural language"	rdfs:member	"natural language generation"
0	"most"	rdfs:member	"most extensively"
0	"extensively explored tasks"	rdfs:subClassOf	"tasks"
0	"explored"	rdfs:member	"explored tasks"
0	"most extensively"	rdfs:subClassOf	"extensively"
0	"natural"	rdfs:member	"natural language"
0	"natural language generation"	rdfs:subClassOf	"generation"
0	"most extensively explored tasks"	rdfs:subClassOf	"tasks"
0	"extensively explored"	rdfs:subClassOf	"explored"
0	"explored tasks"	rdfs:subClassOf	"tasks"
0	"extensively explored"	rdfs:member	"extensively explored tasks"
0	"natural language"	rdfs:subClassOf	"language"
0	"language"	rdfs:member	"language generation"
0	"where is"	rdfs:subClassOf	"is"
0	"natural language generation"	rdfs:subClassOf	"language generation"
0	"one explored tasks"	rdfs:subClassOf	"explored tasks"
0	"one explored tasks in natural language generation"	local:in_naturallanguagegeneration	"one explored tasks"
0	"one explored tasks in natural language generation"	local:oneexploredtasks_in	"natural language generation"
0	"referring"	vn.role:Theme	"one explored tasks in natural language generation"
0	"explored"	local:AM-ADV	"extensively"
0	"explored"	vn.role:Location	"tasks"
0	"language generation"	rdfs:subClassOf	"generation"
0	"natural language"	rdfs:member	"natural language generation"
0	"natural"	rdfs:member	"natural language"
0	"natural language generation"	rdfs:subClassOf	"generation"
0	"natural language"	rdfs:subClassOf	"language"
0	"language"	rdfs:member	"language generation"
0	"where is"	rdfs:subClassOf	"is"
0	"natural language generation"	rdfs:subClassOf	"language generation"
0	"explored"	local:AM-LOC	"natural language generation"
1	"identifies"	vn.role:Agent	"description"
1	"identifies"	local:AM-MNR	"uniquely"
1	"identifies"	vn.role:Theme	"instance"
2	"recent"	rdfs:member	"recent approaches"
2	"recent approaches"	rdfs:subClassOf	"approaches"
2	"aim"	vn.role:Experiencer	"recent approaches"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"referring expressions"	rdfs:subClassOf	"expressions"
2	"referring expressions in knowledge graphs"	local:in_knowledgegraphs	"referring expressions"
2	"referring expressions in knowledge graphs"	local:referringexpressions_in	"knowledge graphs"
2	"aim"	vn.role:Theme	"discover"
2	"recent"	rdfs:member	"recent approaches"
2	"recent approaches"	rdfs:subClassOf	"approaches"
2	"discover"	vn.role:Agent	"recent approaches"
2	"knowledge graphs"	rdfs:subClassOf	"graphs"
2	"knowledge"	rdfs:member	"knowledge graphs"
2	"referring expressions"	rdfs:subClassOf	"expressions"
2	"referring expressions in knowledge graphs"	local:in_knowledgegraphs	"referring expressions"
2	"referring expressions in knowledge graphs"	local:referringexpressions_in	"knowledge graphs"
2	"discover"	vn.role:Theme	"referring expressions in knowledge graphs"
2	"referring"	vn.role:Agent	"expressions"
3	"discovered expressions"	rdfs:subClassOf	"expressions"
3	"quality"	rdfs:member	"quality measures"
3	"quality measures"	rdfs:subClassOf	"measures"
3	"search space"	rdfs:subClassOf	"space"
3	"search"	rdfs:member	"search space"
3	"discovered"	rdfs:member	"discovered expressions"
3	"existing approaches"	rdfs:subClassOf	"approaches"
3	"quality measures based_on intuitiveness"	local:based_on_intuitiveness	"quality measures"
3	"quality measures based_on intuitiveness"	local:qualitymeasures_based_on	"intuitiveness"
3	"quality measures based_on intuitiveness based_on simplicity"	local:based_on_simplicity	"quality measures based_on intuitiveness"
3	"quality measures based_on intuitiveness based_on simplicity"	local:qualitymeasuresbased_onintuitiveness_based_on	"simplicity"
3	"intuitiveness of discovered expressions"	local:of_discoveredexpressions	"intuitiveness"
3	"intuitiveness of discovered expressions"	local:intuitiveness_of	"discovered expressions"
3	"limit"	vn.role:Patient	"define"
3	"existing"	vn.role:Location	"approaches"
3	"define"	local:AM-PNC	"limit"
3	"existing approaches"	rdfs:subClassOf	"approaches"
3	"space existing approaches"	rdfs:subClassOf	"existing approaches"
3	"define"	vn.role:Agent	"space existing approaches"
3	"quality measures"	rdfs:subClassOf	"measures"
3	"quality"	rdfs:member	"quality measures"
3	"discovered"	rdfs:member	"discovered expressions"
3	"discovered expressions"	rdfs:subClassOf	"expressions"
3	"quality measures based_on intuitiveness"	local:based_on_intuitiveness	"quality measures"
3	"quality measures based_on intuitiveness"	local:qualitymeasures_based_on	"intuitiveness"
3	"quality measures based_on intuitiveness based_on simplicity"	local:based_on_simplicity	"quality measures based_on intuitiveness"
3	"quality measures based_on intuitiveness based_on simplicity"	local:qualitymeasuresbased_onintuitiveness_based_on	"simplicity"
3	"intuitiveness of discovered expressions"	local:of_discoveredexpressions	"intuitiveness"
3	"intuitiveness of discovered expressions"	local:intuitiveness_of	"discovered expressions"
3	"define"	vn.role:Theme	"quality measures based_on intuitiveness based_on simplicity"
3	"quality measures"	rdfs:subClassOf	"measures"
3	"quality"	rdfs:member	"quality measures"
3	"based"	vn.role:Cause	"quality measures"
3	"discovered"	rdfs:member	"discovered expressions"
3	"discovered expressions"	rdfs:subClassOf	"expressions"
3	"intuitiveness of discovered expressions"	local:of_discoveredexpressions	"intuitiveness"
3	"intuitiveness of discovered expressions"	local:intuitiveness_of	"discovered expressions"
3	"based"	vn.role:indirect_object	"intuitiveness of discovered expressions"
3	"discovered"	vn.role:Theme	"expressions"
4	"linking"	vn.role:Agent	"data"
4	"present re-miner"	rdfs:subClassOf	"re-miner"
4	"present"	rdfs:member	"present re-miner"
4	"linking"	vn.role:Patient	"present re-miner"
5	"linking"	vn.role:Agent	"data"
5	"linking"	vn.role:Patient	"algorithm"
6	"focus"	local:AM-LOC	"paper"
6	"focus"	vn.role:Experiencer	"we"
6	"expressions of interest"	local:of_interest	"expressions"
6	"expressions of interest"	local:expressions_of	"interest"
6	"interest for data"	local:for_data	"interest"
6	"interest for data"	local:interest_for	"data"
6	"focus"	vn.role:indirect_object	"referring"
6	"referring"	vn.role:Agent	"we"
6	"expressions of interest"	local:of_interest	"expressions"
6	"expressions of interest"	local:expressions_of	"interest"
6	"interest for data"	local:for_data	"interest"
6	"interest for data"	local:interest_for	"data"
6	"referring"	vn.role:Theme	"expressions of interest"
7	"tailored"	vn.role:Theme	"algorithm"
7	"tailored to automatically"	local:to_automatically	"tailored"
7	"tailored to automatically"	local:tailored_to	"automatically"
7	"discover"	vn.role:Agent	"tailored to automatically"
7	"knowledge graph"	rdfs:subClassOf	"graph"
7	"knowledge"	rdfs:member	"knowledge graph"
7	"referring expressions"	rdfs:subClassOf	"expressions"
7	"minimal referring expressions"	rdfs:subClassOf	"referring expressions"
7	"minimal referring expressions for instances"	local:for_instances	"minimal referring expressions"
