0	"reasoning framework"	rdfs:subClassOf	"framework"
0	"addresses"	vn.role:Agent	"reasoning framework"
0	"adaptive"	rdfs:member	"adaptive reasoning"
0	"adaptive reasoning"	rdfs:subClassOf	"reasoning"
0	"problem of adaptive reasoning"	local:of_adaptivereasoning	"problem"
0	"problem of adaptive reasoning"	local:problem_of	"adaptive reasoning"
0	"addresses"	vn.role:Theme	"problem of adaptive reasoning"
0	"multi-ontology"	rdfs:member	"multi-ontology environment"
0	"multi-ontology environment"	rdfs:subClassOf	"environment"
0	"addresses"	local:AM-LOC	"multi-ontology environment"
3	"case-based reasoning"	rdfs:subClassOf	"reasoning"
3	"case-based"	rdfs:member	"case-based reasoning"
3	"case-based reasoning cbr"	local:_cbr	"case-based reasoning"
3	"case-based reasoning cbr"	local:case-basedreasoning_	"cbr"
3	"relies"	vn.role:Agent	"approach"
3	"contextualized ontologies"	rdfs:subClassOf	"ontologies"
3	"relies"	vn.role:Theme	"contextualized ontologies"
3	"c-owl"	rdfs:member	"c-owl formalism"
3	"c-owl formalism"	rdfs:subClassOf	"formalism"
3	"relies"	vn.role:indirect_object	"c-owl formalism"
3	"domain"	rdfs:member	"domain knowledge"
3	"domain knowledge"	rdfs:subClassOf	"knowledge"
3	"representation of domain knowledge"	local:of_domainknowledge	"representation"
3	"representation of domain knowledge"	local:representation_of	"domain knowledge"
3	"relies"	local:AM-PNC	"representation of domain knowledge"
4	"case-based reasoning"	rdfs:subClassOf	"reasoning"
4	"case-based"	rdfs:member	"case-based reasoning"
4	"case-based reasoning cbr"	local:_cbr	"case-based reasoning"
4	"case-based reasoning cbr"	local:case-basedreasoning_	"cbr"
4	"relies"	vn.role:Agent	"approach"
4	"contextualized ontologies"	rdfs:subClassOf	"ontologies"
4	"relies"	vn.role:Theme	"contextualized ontologies"
4	"c-owl"	rdfs:member	"c-owl formalism"
4	"c-owl formalism"	rdfs:subClassOf	"formalism"
4	"relies"	vn.role:indirect_object	"c-owl formalism"
4	"adaptation knowledge"	rdfs:subClassOf	"knowledge"
4	"adaptation"	rdfs:member	"adaptation knowledge"
4	"representation of adaptation knowledge"	local:of_adaptationknowledge	"representation"
4	"representation of adaptation knowledge"	local:representation_of	"adaptation knowledge"
4	"relies"	local:AM-PNC	"representation of adaptation knowledge"
5	"context in c-owl"	local:in_c-owl	"context"
5	"context in c-owl"	local:context_in	"c-owl"
5	"used"	vn.role:Theme	"context in c-owl"
5	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
5	"particular"	rdfs:member	"particular viewpoint"
5	"used"	vn.role:Recipient	"represent"
5	"context in c-owl"	local:in_c-owl	"context"
5	"context in c-owl"	local:context_in	"c-owl"
5	"represent"	vn.role:Agent	"context in c-owl"
5	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
5	"particular"	rdfs:member	"particular viewpoint"
5	"particular viewpoint containing"	local:_containing	"particular viewpoint"
5	"particular viewpoint containing"	local:particularviewpoint_	"containing"
5	"represent"	vn.role:Theme	"particular viewpoint containing"
5	"particular viewpoint"	rdfs:subClassOf	"viewpoint"
