0	"large repositories"	rdfs:subClassOf	"repositories"
0	"formalized knowledge"	rdfs:subClassOf	"knowledge"
0	"large"	rdfs:member	"large repositories"
0	"formalized"	rdfs:member	"formalized knowledge"
0	"large repositories of formalized knowledge"	local:of_formalizedknowledge	"large repositories"
0	"large repositories of formalized knowledge"	local:largerepositories_of	"formalized knowledge"
0	"extending"	vn.role:Theme	"large repositories of formalized knowledge"
2	"achieve"	vn.role:Agent	"precision"
2	"automatically acquired"	rdfs:subClassOf	"acquired"
2	"achieve"	vn.role:Theme	"automatically acquired"
2	"acquired"	local:AM-MNR	"automatically"
2	"acquired"	vn.role:Topic	"rule"
3	"knowledge building"	rdfs:subClassOf	"building"
3	"knowledge"	rdfs:member	"knowledge building"
3	"automated knowledge building"	rdfs:subClassOf	"knowledge building"
3	"type of automated knowledge building"	local:of_automatedknowledgebuilding	"type"
3	"type of automated knowledge building"	local:type_of	"automated knowledge building"
3	"requires"	vn.role:Agent	"type of automated knowledge building"
3	"decent"	rdfs:member	"decent level"
3	"minimal"	rdfs:member	"minimal supervision"
3	"minimal supervision"	rdfs:subClassOf	"supervision"
3	"unlabeled data"	rdfs:subClassOf	"data"
3	"decent level"	rdfs:subClassOf	"level"
3	"unlabeled"	rdfs:member	"unlabeled data"
3	"decent level of precision"	local:of_precision	"decent level"
3	"decent level of precision"	local:decentlevel_of	"precision"
3	"learned from unlabeled data"	local:from_unlabeleddata	"learned"
3	"learned from unlabeled data"	local:learned_from	"unlabeled data"
3	"learned from unlabeled data by_means_of minimal supervision"	local:by_means_of_minimalsupervision	"learned from unlabeled data"
3	"learned from unlabeled data by_means_of minimal supervision"	local:learnedfromunlabeleddata_by_means_of	"minimal supervision"
3	"requires"	vn.role:Patient	"learned from unlabeled data by_means_of minimal supervision"
3	"decent"	rdfs:member	"decent level"
3	"decent level"	rdfs:subClassOf	"level"
3	"decent level of precision"	local:of_precision	"decent level"
3	"decent level of precision"	local:decentlevel_of	"precision"
3	"learned"	vn.role:Theme	"decent level of precision"
3	"unlabeled"	rdfs:member	"unlabeled data"
3	"unlabeled data"	rdfs:subClassOf	"data"
3	"learned"	vn.role:Source	"unlabeled data"
3	"minimal"	rdfs:member	"minimal supervision"
3	"minimal supervision"	rdfs:subClassOf	"supervision"
3	"means of minimal supervision"	local:of_minimalsupervision	"means"
3	"means of minimal supervision"	local:means_of	"minimal supervision"
3	"learned"	local:AM-MNR	"means of minimal supervision"
4	"knowledge building"	rdfs:subClassOf	"building"
4	"knowledge"	rdfs:member	"knowledge building"
4	"automated knowledge building"	rdfs:subClassOf	"knowledge building"
4	"type of automated knowledge building"	local:of_automatedknowledgebuilding	"type"
4	"type of automated knowledge building"	local:type_of	"automated knowledge building"
4	"requires"	vn.role:Agent	"type of automated knowledge building"
4	"decent"	rdfs:member	"decent level"
4	"distant supervision"	rdfs:subClassOf	"supervision"
4	"unlabeled data"	rdfs:subClassOf	"data"
4	"decent level"	rdfs:subClassOf	"level"
4	"unlabeled"	rdfs:member	"unlabeled data"
4	"distant"	rdfs:member	"distant supervision"
4	"decent level of precision"	local:of_precision	"decent level"
4	"decent level of precision"	local:decentlevel_of	"precision"
4	"learned from unlabeled data"	local:from_unlabeleddata	"learned"
4	"learned from unlabeled data"	local:learned_from	"unlabeled data"
4	"learned from unlabeled data by_means_of distant supervision"	local:by_means_of_distantsupervision	"learned from unlabeled data"
4	"learned from unlabeled data by_means_of distant supervision"	local:learnedfromunlabeleddata_by_means_of	"distant supervision"
4	"requires"	vn.role:Patient	"learned from unlabeled data by_means_of distant supervision"
4	"decent"	rdfs:member	"decent level"
4	"decent level"	rdfs:subClassOf	"level"
4	"decent level of precision"	local:of_precision	"decent level"
4	"decent level of precision"	local:decentlevel_of	"precision"
4	"learned"	vn.role:Theme	"decent level of precision"
4	"unlabeled"	rdfs:member	"unlabeled data"
4	"unlabeled data"	rdfs:subClassOf	"data"
4	"learned"	vn.role:Source	"unlabeled data"
4	"distant"	rdfs:member	"distant supervision"
4	"distant supervision"	rdfs:subClassOf	"supervision"
4	"means of distant supervision"	local:of_distantsupervision	"means"
4	"means of distant supervision"	local:means_of	"distant supervision"
4	"learned"	vn.role:Agent	"means of distant supervision"
6	"shows"	vn.role:Agent	"paper"
6	"relation extraction"	rdfs:subClassOf	"extraction"
6	"semantic"	rdfs:member	"semantic rule"
6	"relation"	rdfs:member	"relation extraction"
6	"semantic rule"	rdfs:subClassOf	"rule"
6	"effective"	rdfs:member	"effective semantic"
6	"effective semantic"	rdfs:member	"effective semantic rule"
6	"effective semantic"	rdfs:subClassOf	"semantic"
6	"effective semantic rule"	rdfs:subClassOf	"rule"
6	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
6	"considerably improved"	rdfs:subClassOf	"improved"
6	"can considerably improved"	rdfs:subClassOf	"considerably improved"
6	"precision of relation extraction"	local:of_relationextraction	"precision"
6	"precision of relation extraction"	local:precision_of	"relation extraction"
6	"wide-coverage for effective semantic rule"	local:for_effectivesemanticrule	"wide-coverage"
6	"wide-coverage for effective semantic rule"	local:wide-coverage_for	"effective semantic rule"
6	"shows"	vn.role:Theme	"can considerably improved"
6	"relation extraction"	rdfs:subClassOf	"extraction"
6	"relation"	rdfs:member	"relation extraction"
6	"precision of relation extraction"	local:of_relationextraction	"precision"
6	"precision of relation extraction"	local:precision_of	"relation extraction"
6	"improved"	vn.role:Patient	"precision of relation extraction"
6	"improved"	local:AM-MOD	"can"
6	"improved"	local:AM-MNR	"considerably"
6	"semantic"	rdfs:member	"semantic rule"
6	"semantic rule"	rdfs:subClassOf	"rule"
6	"effective"	rdfs:member	"effective semantic"
6	"effective semantic"	rdfs:member	"effective semantic rule"
6	"effective semantic"	rdfs:subClassOf	"semantic"
6	"effective semantic rule"	rdfs:subClassOf	"rule"
6	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
6	"wide-coverage for effective semantic rule"	local:for_effectivesemanticrule	"wide-coverage"
6	"wide-coverage for effective semantic rule"	local:wide-coverage_for	"effective semantic rule"
6	"improved"	local:AM-MNR	"employing"
6	"semantic"	rdfs:member	"semantic rule"
6	"semantic rule"	rdfs:subClassOf	"rule"
6	"effective"	rdfs:member	"effective semantic"
6	"effective semantic"	rdfs:member	"effective semantic rule"
6	"effective semantic"	rdfs:subClassOf	"semantic"
6	"effective semantic rule"	rdfs:subClassOf	"rule"
6	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
6	"wide-coverage for effective semantic rule"	local:for_effectivesemanticrule	"wide-coverage"
6	"wide-coverage for effective semantic rule"	local:wide-coverage_for	"effective semantic rule"
6	"employing"	vn.role:Theme	"wide-coverage for effective semantic rule"
7	"shows"	vn.role:Agent	"paper"
7	"relation extraction"	rdfs:subClassOf	"extraction"
7	"semantic"	rdfs:member	"semantic rule"
7	"relation"	rdfs:member	"relation extraction"
7	"semantic rule"	rdfs:subClassOf	"rule"
7	"effective"	rdfs:member	"effective semantic"
7	"effective semantic"	rdfs:member	"effective semantic rule"
7	"effective semantic"	rdfs:subClassOf	"semantic"
7	"effective semantic rule"	rdfs:subClassOf	"rule"
7	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
7	"considerably improved"	rdfs:subClassOf	"improved"
7	"can considerably improved"	rdfs:subClassOf	"considerably improved"
7	"precision of relation extraction"	local:of_relationextraction	"precision"
7	"precision of relation extraction"	local:precision_of	"relation extraction"
7	"employing for effective semantic rule"	local:for_effectivesemanticrule	"employing"
7	"employing for effective semantic rule"	local:employing_for	"effective semantic rule"
7	"shows"	vn.role:Theme	"can considerably improved"
7	"relation extraction"	rdfs:subClassOf	"extraction"
7	"relation"	rdfs:member	"relation extraction"
7	"precision of relation extraction"	local:of_relationextraction	"precision"
7	"precision of relation extraction"	local:precision_of	"relation extraction"
7	"improved"	vn.role:Patient	"precision of relation extraction"
7	"improved"	local:AM-MOD	"can"
7	"improved"	local:AM-MNR	"considerably"
7	"semantic"	rdfs:member	"semantic rule"
7	"semantic rule"	rdfs:subClassOf	"rule"
7	"effective"	rdfs:member	"effective semantic"
7	"effective semantic"	rdfs:member	"effective semantic rule"
7	"effective semantic"	rdfs:subClassOf	"semantic"
7	"effective semantic rule"	rdfs:subClassOf	"rule"
7	"effective semantic rule"	rdfs:subClassOf	"semantic rule"
7	"employing for effective semantic rule"	local:for_effectivesemanticrule	"employing"
7	"employing for effective semantic rule"	local:employing_for	"effective semantic rule"
