1	"aims"	vn.role:Experiencer	"major focus of knowledge graphs"
1	"predicting"	vn.role:Recipient	"graphs"
1	"predicting"	vn.role:Cause	"missing links between entities to complement a major focus of knowledge graphs."
2	"consider"	local:AM-ADV	"only"
2	"consider"	vn.role:Agent	"most previous works"
2	"consider"	vn.role:Theme	"the triples, but the triples provide less information than the paths."
2	"provide"	vn.role:Recipient	"the triples"
2	"provide"	vn.role:Agent	"less information than the paths."
3	"consider"	vn.role:Agent	"some works"
3	"consider"	vn.role:Theme	"the semantic information"
3	"consider"	vn.role:Predicate	"-lrb-"
3	"get"	local:AM-ADV	"although some works consider the semantic information -lrb- i.e. similar entities"
3	"get"	local:AM-MNR	"using the word2vec models, some works ignore the syntactic information -lrb- i.e. the order of entities and relations -rrb- of the paths."
3	"get"	vn.role:Patient	"similar representations -rrb- of the paths"
3	"using"	vn.role:Theme	"the word2vec models,"
3	"using"	vn.role:Recipient	"some works"
3	"ignore"	local:AM-ADV	"although some works consider the semantic information -lrb- i.e. similar entities get similar representations -rrb- of the paths using the word2vec models,"
3	"ignore"	vn.role:Agent	"some works"
3	"ignore"	vn.role:Theme	"the syntactic information -lrb- i.e. the order of entities and relations -rrb- of the paths."
4	"propose"	local:AM-LOC	"this paper,"
4	"propose"	vn.role:Agent	"we"
4	"propose"	vn.role:Topic	"rw-lmlm, a novel approach for link prediction."
5	"consists"	vn.role:Location	"rw-lmlm"
6	"generated"	vn.role:Theme1	"kg"
6	"generated"	vn.role:Theme2	"pseudo-sentences for model-based link prediction model training."
6	"viewed"	vn.role:Theme	"kg"
6	"viewed"	vn.role:Predicate	"pseudo-sentences for model-based link prediction model training."
7	"can capture"	local:AM-MNR	"considering relations."
7	"can capture"	vn.role:Agent	"rw-lmlm"
7	"can capture"	vn.role:Theme	"the semantic information in a major focus of knowledge graphs"
7	"considering"	vn.role:Agent	"rw-lmlm"
7	"considering"	vn.role:Theme	"relations."
8	"can capture"	local:AM-MNR	"considering relations."
8	"can capture"	vn.role:Agent	"rw-lmlm"
8	"can capture"	vn.role:Theme	"the syntactic information in a major focus of knowledge graphs"
8	"considering"	vn.role:Agent	"rw-lmlm"
8	"considering"	vn.role:Theme	"relations."
9	"can capture"	local:AM-MNR	"considering entities."
9	"can capture"	vn.role:Agent	"rw-lmlm"
9	"can capture"	vn.role:Theme	"the semantic information in a major focus of knowledge graphs"
9	"considering"	vn.role:Agent	"rw-lmlm"
9	"considering"	vn.role:Theme	"entities."
10	"can capture"	local:AM-MNR	"considering entities."
10	"can capture"	vn.role:Agent	"rw-lmlm"
10	"can capture"	vn.role:Theme	"the syntactic information in a major focus of knowledge graphs"
10	"considering"	vn.role:Agent	"rw-lmlm"
10	"considering"	vn.role:Theme	"entities."
11	"can capture"	local:AM-MNR	"considering order information of the paths."
11	"can capture"	vn.role:Agent	"rw-lmlm"
11	"can capture"	vn.role:Theme	"the syntactic information in a major focus of knowledge graphs"
11	"considering"	vn.role:Agent	"rw-lmlm"
11	"considering"	vn.role:Theme	"order information of the paths."
12	"can capture"	local:AM-MNR	"considering order information of the paths."
12	"can capture"	vn.role:Agent	"rw-lmlm"
12	"can capture"	vn.role:Theme	"the semantic information in a major focus of knowledge graphs"
12	"considering"	vn.role:Agent	"rw-lmlm"
12	"considering"	vn.role:Theme	"order information of the paths."
13	"show"	vn.role:Agent	"experimental results"
13	"show"	vn.role:Theme	"that our method outperforms several state-of-the-art models on benchmark datasets."
13	"outperforms"	local:AM-MNR	"benchmark datasets."
13	"outperforms"	vn.role:Theme1	"our method"
13	"outperforms"	vn.role:Theme2	"several state-of-the-art models"
14	"shows"	vn.role:Agent	"further analysis"
14	"shows"	vn.role:Theme	"that our model is highly parameter efficient."
0	"link prediction"	rdfs:subClassOf	"prediction"
0	"major focus"	rdfs:subClassOf	"focus"
0	"major"	local:partOf	"major focus"
0	"knowledge"	local:partOf	"knowledge graphs"
0	"link"	local:partOf	"link prediction"
0	"knowledge graphs"	rdfs:subClassOf	"graphs"
0	"recently major focus"	rdfs:subClassOf	"major focus"
0	"has recently major focus"	rdfs:subClassOf	"recently major focus"
0	"has recently major focus of knowledge graphs"	local:of_knowledgegraphs	"has recently major focus"
0	"has recently major focus of knowledge graphs"	local:hasrecentlymajorfocus_of	"knowledge graphs"
1	"knowledge"	local:partOf	"knowledge graphs"
1	"major focus"	rdfs:subClassOf	"focus"
1	"major"	local:partOf	"major focus"
1	"knowledge graphs"	rdfs:subClassOf	"graphs"
1	"missing links"	rdfs:subClassOf	"links"
1	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
1	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
1	"missing links between entities"	local:between_entities	"missing links"
1	"missing links between entities"	local:missinglinks_between	"entities"
1	"major focus of knowledge graphs of knowledge graphs"	local:of_knowledgegraphs	"major focus of knowledge graphs"
1	"major focus of knowledge graphs of knowledge graphs"	local:majorfocusofknowledgegraphs_of	"knowledge graphs"
2	"most previous"	local:partOf	"most previous works"
2	"previous works"	rdfs:subClassOf	"works"
2	"most"	local:partOf	"most previous"
2	"most previous"	rdfs:subClassOf	"previous"
2	"less information"	rdfs:subClassOf	"information"
2	"most previous works"	rdfs:subClassOf	"works"
2	"previous"	local:partOf	"previous works"
2	"less"	local:partOf	"less information"
2	"only consider"	rdfs:subClassOf	"consider"
2	"most previous works"	rdfs:subClassOf	"previous works"
2	"less information than paths"	local:than_paths	"less information"
2	"less information than paths"	local:lessinformation_than	"paths"
3	"information"	local:partOf	"information -lrb-"
3	"semantic information"	local:partOf	"semantic information -lrb-"
3	"syntactic information -lrb- i.e"	rdfs:subClassOf	"i.e"
3	"syntactic"	local:partOf	"syntactic information"
3	"syntactic information -lrb-"	local:partOf	"syntactic information -lrb- i.e"
3	"word2vec models"	rdfs:subClassOf	"models"
3	"relations"	local:partOf	"relations -rrb-"
3	"information -lrb-"	local:partOf	"information -lrb- i.e"
3	"similar"	local:partOf	"similar representations"
3	"relations -rrb-"	rdfs:subClassOf	"-rrb-"
3	"semantic information -lrb-"	rdfs:subClassOf	"-lrb-"
3	"syntactic information"	local:partOf	"syntactic information -lrb-"
3	"similar representations"	rdfs:subClassOf	"representations"
3	"similar entities"	rdfs:subClassOf	"entities"
3	"word2vec"	local:partOf	"word2vec models"
3	"semantic"	local:partOf	"semantic information"
3	"semantic information -lrb- i.e"	rdfs:subClassOf	"i.e"
3	"syntactic information"	rdfs:subClassOf	"information"
3	"representations"	local:partOf	"representations -rrb-"
3	"semantic information -lrb-"	local:partOf	"semantic information -lrb- i.e"
3	"similar representations -rrb-"	rdfs:subClassOf	"-rrb-"
3	"information -lrb- i.e"	rdfs:subClassOf	"i.e"
3	"semantic information"	rdfs:subClassOf	"information"
3	"representations -rrb-"	rdfs:subClassOf	"-rrb-"
3	"information -lrb-"	rdfs:subClassOf	"-lrb-"
3	"similar representations"	local:partOf	"similar representations -rrb-"
3	"similar"	local:partOf	"similar entities"
3	"-lrb-"	local:partOf	"-lrb- i.e"
3	"syntactic information -lrb-"	rdfs:subClassOf	"-lrb-"
3	"-lrb- i.e"	rdfs:subClassOf	"i.e"
3	"consider of paths"	local:of_paths	"consider"
3	"consider of paths"	local:consider_of	"paths"
3	"paths using"	local:_using	"paths"
3	"paths using"	local:paths_	"using"
3	"order of similar entities"	local:of_similarentities	"order"
3	"order of similar entities"	local:order_of	"similar entities"
3	"order of similar entities of relations"	local:of_relations	"order of similar entities"
3	"order of similar entities of relations"	local:orderofsimilarentities_of	"relations"
3	"syntactic information of paths using"	local:of_pathsusing	"syntactic information"
3	"syntactic information of paths using"	local:syntacticinformation_of	"paths using"
4	"novel"	local:partOf	"novel approach"
4	"link"	local:partOf	"link prediction"
4	"link prediction"	rdfs:subClassOf	"prediction"
4	"novel approach"	rdfs:subClassOf	"approach"
4	"propose in paper"	local:in_paper	"propose"
4	"propose in paper"	local:propose_in	"paper"
4	"rw-lmlm novel approach"	local:_novelapproach	"rw-lmlm"
4	"rw-lmlm novel approach"	local:RW-LMLM_	"novel approach"
4	"novel approach for link prediction"	local:for_linkprediction	"novel approach"
4	"novel approach for link prediction"	local:novelapproach_for	"link prediction"
5	"model-based link prediction"	local:partOf	"model-based link prediction model"
5	"link prediction"	rdfs:subClassOf	"prediction"
5	"link prediction"	local:partOf	"link prediction model"
5	"kg"	local:partOf	"kg -rrb-"
5	"link prediction model"	rdfs:subClassOf	"model"
5	"-lrb- kg"	local:partOf	"-lrb- kg -rrb-"
5	"knowledge graph -lrb- kg -rrb-"	rdfs:subClassOf	"-rrb-"
5	"model-based link prediction"	rdfs:subClassOf	"prediction"
5	"prediction model"	rdfs:subClassOf	"model"
5	"walk algorithm"	rdfs:subClassOf	"algorithm"
5	"walk"	local:partOf	"walk algorithm"
5	"knowledge graph -lrb-"	rdfs:subClassOf	"-lrb-"
5	"major"	local:partOf	"major focus"
5	"model-based link"	rdfs:subClassOf	"link"
5	"link"	local:partOf	"link prediction"
5	"knowledge"	local:partOf	"knowledge graph"
5	"graph -lrb-"	local:partOf	"graph -lrb- kg"
5	"graph -lrb-"	rdfs:subClassOf	"-lrb-"
5	"knowledge graph -lrb-"	local:partOf	"knowledge graph -lrb- kg"
5	"graph -lrb- kg -rrb-"	rdfs:subClassOf	"-rrb-"
5	"random walk"	local:partOf	"random walk algorithm"
5	"graph"	local:partOf	"graph -lrb-"
5	"kg -rrb-"	rdfs:subClassOf	"-rrb-"
5	"knowledge graph"	local:partOf	"knowledge graph -lrb-"
5	"rw-lmlm consists"	rdfs:subClassOf	"consists"
5	"random walk algorithm"	rdfs:subClassOf	"algorithm"
5	"knowledge graph"	rdfs:subClassOf	"graph"
5	"-lrb- kg"	rdfs:subClassOf	"kg"
5	"prediction"	local:partOf	"prediction model"
5	"rw-lmlm"	local:partOf	"rw-lmlm consists"
5	"major focus"	rdfs:subClassOf	"focus"
5	"graph -lrb- kg"	rdfs:subClassOf	"kg"
5	"model-based link"	local:partOf	"model-based link prediction"
5	"-lrb-"	local:partOf	"-lrb- kg"
5	"random"	local:partOf	"random walk"
5	"knowledge graph -lrb- kg"	rdfs:subClassOf	"kg"
5	"knowledge graph -lrb- kg"	local:partOf	"knowledge graph -lrb- kg -rrb-"
5	"random walk"	rdfs:subClassOf	"walk"
5	"model-based link prediction model"	rdfs:subClassOf	"model"
5	"graph -lrb- kg"	local:partOf	"graph -lrb- kg -rrb-"
5	"-lrb- kg -rrb-"	rdfs:subClassOf	"-rrb-"
5	"model-based"	local:partOf	"model-based link"
5	"link prediction model"	rdfs:subClassOf	"prediction model"
5	"model-based link prediction model"	rdfs:subClassOf	"link prediction model"
5	"language model-based link prediction model"	rdfs:subClassOf	"model-based link prediction model"
5	"random walk algorithm"	rdfs:subClassOf	"walk algorithm"
5	"rw-lmlm consists of random walk algorithm"	local:of_randomwalkalgorithm	"rw-lmlm consists"
5	"rw-lmlm consists of random walk algorithm"	local:rw-lmlmconsists_of	"random walk algorithm"
5	"random walk algorithm for major focus"	local:for_majorfocus	"random walk algorithm"
5	"random walk algorithm for major focus"	local:randomwalkalgorithm_for	"major focus"
5	"major focus of knowledge graph"	local:of_knowledgegraph	"major focus"
5	"major focus of knowledge graph"	local:majorfocus_of	"knowledge graph"
5	"knowledge graph kg"	local:_KG	"knowledge graph"
5	"knowledge graph kg"	local:knowledgegraph_	"kg"
5	"major focus of knowledge graph of language model-based link prediction model"	local:of_languagemodel-basedlinkpredictionmodel	"major focus of knowledge graph"
5	"major focus of knowledge graph of language model-based link prediction model"	local:majorfocusofknowledgegraph_of	"language model-based link prediction model"
6	"model-based link prediction"	local:partOf	"model-based link prediction model"
6	"link prediction"	rdfs:subClassOf	"prediction"
6	"link prediction"	local:partOf	"link prediction model"
6	"prediction model training"	rdfs:subClassOf	"training"
6	"link prediction model"	rdfs:subClassOf	"model"
6	"link prediction model"	local:partOf	"link prediction model training"
6	"model"	local:partOf	"model training"
6	"model-based link"	local:partOf	"model-based link prediction"
6	"model-based link"	rdfs:subClassOf	"link"
6	"prediction model"	local:partOf	"prediction model training"
6	"link prediction model training"	rdfs:subClassOf	"training"
6	"model training"	rdfs:subClassOf	"training"
6	"model-based link prediction model training"	rdfs:subClassOf	"training"
6	"model-based link prediction model"	local:partOf	"model-based link prediction model training"
6	"link"	local:partOf	"link prediction"
6	"model-based link prediction"	rdfs:subClassOf	"prediction"
6	"prediction model"	rdfs:subClassOf	"model"
6	"model-based link prediction model"	rdfs:subClassOf	"model"
6	"prediction"	local:partOf	"prediction model"
6	"model-based"	local:partOf	"model-based link"
6	"prediction model training"	rdfs:subClassOf	"model training"
6	"link prediction model training"	rdfs:subClassOf	"prediction model training"
6	"model-based link prediction model training"	rdfs:subClassOf	"link prediction model training"
6	"generated by kg"	local:by_KG	"generated"
6	"generated by kg"	local:generated_by	"kg"
6	"viewed as pseudo-sentences"	local:as_pseudo-sentences	"viewed"
6	"viewed as pseudo-sentences"	local:viewed_as	"pseudo-sentences"
6	"pseudo-sentences for model-based link prediction model training"	local:for_model-basedlinkpredictionmodeltraining	"pseudo-sentences"
6	"pseudo-sentences for model-based link prediction model training"	local:pseudo-sentences_for	"model-based link prediction model training"
7	"semantic"	local:partOf	"semantic information"
7	"major focus"	rdfs:subClassOf	"focus"
7	"semantic information"	rdfs:subClassOf	"information"
7	"major"	local:partOf	"major focus"
7	"knowledge"	local:partOf	"knowledge graphs"
7	"knowledge graphs"	rdfs:subClassOf	"graphs"
7	"can capture"	rdfs:subClassOf	"capture"
7	"can capture in major focus"	local:in_majorfocus	"can capture"
7	"can capture in major focus"	local:cancapture_in	"major focus"
7	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
7	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
8	"major focus"	rdfs:subClassOf	"focus"
8	"major"	local:partOf	"major focus"
8	"syntactic"	local:partOf	"syntactic information"
8	"syntactic information"	rdfs:subClassOf	"information"
8	"knowledge"	local:partOf	"knowledge graphs"
8	"knowledge graphs"	rdfs:subClassOf	"graphs"
8	"can capture"	rdfs:subClassOf	"capture"
8	"can capture in major focus"	local:in_majorfocus	"can capture"
8	"can capture in major focus"	local:cancapture_in	"major focus"
8	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
8	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
9	"semantic"	local:partOf	"semantic information"
9	"major focus"	rdfs:subClassOf	"focus"
9	"semantic information"	rdfs:subClassOf	"information"
9	"major"	local:partOf	"major focus"
9	"knowledge"	local:partOf	"knowledge graphs"
9	"knowledge graphs"	rdfs:subClassOf	"graphs"
9	"can capture"	rdfs:subClassOf	"capture"
9	"can capture in major focus"	local:in_majorfocus	"can capture"
9	"can capture in major focus"	local:cancapture_in	"major focus"
9	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
9	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
10	"major focus"	rdfs:subClassOf	"focus"
10	"major"	local:partOf	"major focus"
10	"syntactic"	local:partOf	"syntactic information"
10	"syntactic information"	rdfs:subClassOf	"information"
10	"knowledge"	local:partOf	"knowledge graphs"
10	"knowledge graphs"	rdfs:subClassOf	"graphs"
10	"can capture"	rdfs:subClassOf	"capture"
10	"can capture in major focus"	local:in_majorfocus	"can capture"
10	"can capture in major focus"	local:cancapture_in	"major focus"
10	"major focus of knowledge graphs"	local:of_knowledgegraphs	"major focus"
10	"major focus of knowledge graphs"	local:majorfocus_of	"knowledge graphs"
11	"major focus"	rdfs:subClassOf	"focus"
